file	exit	warn_codes	err_codes	first_err_line
meta-007-reflect-enum-buttons.scrml	0	W-PROGRAM-001		
meta-008-reflect-struct-form.scrml	0	W-PROGRAM-001		
meta-009-multiple-runtime-vars-error.scrml	0	W-PROGRAM-001		
meta-010-reflect-with-config.scrml	1	W-PROGRAM-001	E-SCOPE-001	error [E-SCOPE-001]: E-SCOPE-001: Undeclared identifier `APP_CONFIG` in logic expression. No variable, function, type, or import with that name is in scope. Check for a typo, a missing `import`, or wh
meta-011-for-of-loop.scrml	0			
meta-012-reflect-callback-param.scrml	0	W-LINT-007		
meta-013-runtime-meta-dg002.scrml	0	W-LINT-013		
meta-component-gen.scrml	0			
meta-conditional-markup.scrml	0			
meta-data-table.scrml	0			
meta-loop-gen.scrml	0			
meta-style-gen.scrml	0			
modern-001-state-with-tests.scrml	0	W-PROGRAM-001		
modern-002-projection.scrml	0	W-LINT-007,W-PROGRAM-001		
modern-003-full-app.scrml	0	W-LINT-007,W-LINT-013,W-PROGRAM-001		
modern-004-canary-pattern.scrml	0			
modern-005-ref-and-state.scrml	0	W-PROGRAM-001		
modern-006-canvas-with-helpers.scrml	1		E-SCOPE-001	error [E-SCOPE-001]: E-SCOPE-001: Undeclared identifier `fn` in logic expression. No variable, function, type, or import with that name is in scope. Check for a typo, a missing `import`, or whether yo
modern-007-dnd-with-helpers.scrml	0			
multi-meta-source-order.scrml	0			
payload-variants-001.scrml	0			
postgres-program-driver.scrml	0			
protect-001-basic-auth.scrml	1	W-AUTH-001	E-SCOPE-001	error [E-SCOPE-001]: E-SCOPE-001: Undeclared identifier `verifyHash` in logic expression. No variable, function, type, or import with that name is in scope. Check for a typo, a missing `import`, or wh
reactive-001-basic-decl.scrml	0	W-PROGRAM-001	E-DG-002	
reactive-002-multiple.scrml	0	W-PROGRAM-001	E-DG-002	
reactive-003-string.scrml	0	W-PROGRAM-001	E-DG-002	
reactive-004-number.scrml	0	W-PROGRAM-001	E-DG-002	
reactive-005-boolean.scrml	0	W-PROGRAM-001	E-DG-002	
reactive-006-array.scrml	0	W-PROGRAM-001	E-DG-002	
reactive-007-object.scrml	0	W-PROGRAM-001	E-DG-002	
reactive-008-null.scrml	0	W-PROGRAM-001	E-DG-002	
reactive-009-empty-string.scrml	0	W-PROGRAM-001	E-DG-002	
reactive-010-empty-array.scrml	0	W-PROGRAM-001	E-DG-002	
reactive-011-with-logic.scrml	0	W-PROGRAM-001	E-DG-002	
reactive-012-computed.scrml	0	W-PROGRAM-001	E-DG-002	
reactive-013-nested-markup.scrml	0	W-PROGRAM-001	E-DG-002	
reactive-014-form-state.scrml	0	W-PROGRAM-001	E-DG-002	
reactive-015-complex-init.scrml	0	W-PROGRAM-001	E-DG-002	
reactive-016-bind-value.scrml	0	W-PROGRAM-001		
reactive-017-arrays.scrml	0	W-PROGRAM-001		
reactive-018-class-binding.scrml	0	W-PROGRAM-001	E-DG-002	
ref-001-basic.scrml	0	W-PROGRAM-001		
ref-002-in-logic.scrml	0	W-PROGRAM-001		
ref-003-attribute-access.scrml	0	W-PROGRAM-001		
ref-004-with-state.scrml	0	W-PROGRAM-001		
ref-005-multiple-refs.scrml	0	W-PROGRAM-001		
server-001-state-block.scrml	0	W-PROGRAM-001		
